,0
0,0.365
1,0.384
2,0.238
3,0.162
4,0.117
5,0.166
6,0.105
7,0.125
8,0.127
9,0.128
10,0.117
11,0.128
12,0.1
13,0.164
14,0.305
15,0.285
16,0.341
17,0.29
18,0.316
19,0.27
20,0.289
21,0.31
22,0.311
23,0.313
24,0.503
25,0.408
26,0.322
27,0.325
28,0.3
29,0.145
30,0.108
31,0.12
32,0.131
33,0.149
34,0.158
35,0.139
36,0.131
37,0.103
38,0.109
39,0.101
40,0.44
41,0.713
42,0.737
43,0.544
44,0.483
45,0.417
46,0.236
47,0.147
48,0.162
49,0.098
50,0.141
51,0.095
52,0.138
53,0.089
54,0.19
55,0.227
56,0.165
57,0.183
58,0.137
59,0.139
60,0.13
61,0.143
62,0.329
63,0.112
64,0.218
65,0.313
66,0.254
67,0.24
68,0.422
69,0.401
70,0.54
71,0.67
72,0.889
73,1.279
74,1.777
75,1.478
76,1.155
77,1.046
78,1.548
79,1.49
80,0.741
81,0.533
82,0.659
83,0.385
84,0.508
85,0.492
86,0.591
87,0.493
88,0.641
89,0.683
90,0.521
91,0.46
92,0.389
93,0.28
94,0.255
95,0.104
96,0.121
97,0.106
98,0.116
99,0.092
100,0.123
101,0.093
102,0.113
103,0.083
104,0.106
105,0.081
106,0.109
107,0.103
108,0.242
109,0.301
110,0.317
111,0.313
112,0.253
113,0.384
114,0.287
115,0.17
116,0.109
117,0.124
118,0.104
119,0.127
120,0.12
121,0.109
122,0.15
123,0.297
124,0.337
125,0.6
126,0.266
127,0.093
128,0.124
129,0.086
130,0.166
131,0.5
132,0.46
133,1.281
134,1.711
135,1.506
136,1.294
137,1.28
138,0.991
139,0.583
140,0.527
141,0.339
142,0.376
143,0.286
144,0.263
145,0.264
146,0.326
147,0.099
148,0.111
149,0.087
150,0.113
151,0.101
152,0.102
153,0.115
154,0.083
155,0.161
156,0.11
157,0.163
158,0.218
159,0.143
160,0.306
161,0.341
162,0.32
163,0.366
164,0.348
165,0.331
166,0.346
167,0.356
168,0.429
169,0.325
170,0.349
171,0.344
172,0.363
173,0.345
174,0.324
175,0.434
176,0.208
177,0.726
178,0.407
179,0.53
180,0.651
181,0.565
182,0.593
183,0.611
184,0.456
185,0.474
186,0.429
187,0.494
188,0.601
189,0.446
190,0.134
191,0.16
192,0.169
193,0.177
194,0.176
195,0.123
196,0.129
197,0.131
198,0.127
199,0.133
200,0.122
201,0.129
202,0.153
203,0.472
204,0.17
205,0.163
206,0.131
207,0.27
208,0.3
209,0.273
210,0.223
211,0.132
212,0.109
213,0.152
214,0.233
215,0.192
216,0.161
217,0.133
218,0.145
219,0.112
220,0.147
221,0.107
222,0.14
223,0.111
224,0.324
225,0.337
226,1.248
227,0.691
228,0.414
229,0.403
230,0.404
231,0.618
232,0.434
233,0.547
234,0.595
235,0.568
236,0.383
237,0.356
238,0.341
239,0.281
240,0.233
241,0.247
242,0.242
243,0.287
244,0.258
245,0.182
246,0.134
247,0.171
248,0.134
249,0.155
250,0.118
251,0.18
252,0.116
253,0.157
254,0.183
255,0.246
256,0.227
257,0.354
258,0.339
259,0.325
260,0.317
261,0.271
262,0.446
263,0.317
264,0.235
265,0.189
266,0.142
267,0.138
268,0.163
269,0.167
270,0.356
271,0.281
272,0.342
273,0.359
274,0.6
275,0.38
276,0.143
277,0.147
278,0.137
279,0.133
280,0.13
281,0.13
282,0.553
283,0.504
284,0.428
285,0.426
286,0.347
287,0.332
288,0.364
289,0.323
290,0.176
291,0.144
292,0.173
293,0.155
294,0.178
295,0.136
296,0.129
297,0.14
298,0.132
299,0.107
300,0.128
301,0.129
302,0.136
303,0.108
304,0.131
305,0.121
306,0.184
307,0.183
308,0.228
309,0.279
310,0.114
311,0.126
312,0.373
313,0.516
314,1.569
315,1.288
316,1.113
317,2.307
318,1.881
319,1.776
320,1.057
321,0.135
322,0.147
323,0.121
324,0.14
325,0.105
326,0.139
327,1.221
328,1.53
329,1.199
330,0.687
331,0.631
332,0.854
333,0.936
334,0.662
335,0.493
336,0.178
337,0.319
338,0.352
339,0.147
340,0.141
341,0.121
342,0.151
343,0.23
344,0.136
345,0.107
346,0.144
347,0.11
348,0.128
349,0.112
350,0.132
351,0.103
352,0.271
353,0.285
354,0.337
355,0.37
356,0.422
357,0.355
358,0.34
359,0.327
360,0.693
361,0.376
362,0.413
363,0.433
364,0.737
365,0.464
366,0.399
367,0.451
368,0.216
369,0.192
370,0.653
371,0.408
372,0.19
373,0.492
374,0.326
375,0.291
376,0.228
377,0.499
378,0.468
379,0.518
380,0.373
381,0.428
382,0.396
383,0.18
384,0.139
385,0.129
386,0.154
387,0.137
388,0.156
389,0.19
390,0.152
391,0.118
392,0.168
393,0.193
394,0.187
395,0.165
396,0.13
397,0.15
398,0.279
399,0.125
400,0.112
401,0.335
402,0.379
403,0.378
404,0.377
405,0.376
406,0.351
407,0.278
408,0.25
409,0.296
410,0.311
411,0.359
412,0.297
413,0.352
414,0.337
415,0.31
416,0.408
417,0.558
418,0.647
419,0.616
420,0.428
421,0.614
422,0.488
423,0.443
424,0.447
425,0.331
426,0.521
427,0.441
428,0.418
429,0.38
430,0.246
431,0.137
432,0.144
433,0.118
434,0.136
435,0.118
436,0.182
437,0.186
438,0.135
439,0.158
440,0.143
441,0.175
442,0.146
443,0.16
444,0.277
445,0.284
446,0.518
447,0.301
448,0.338
449,0.3
450,0.408
451,0.554
452,0.673
453,0.421
454,0.344
455,0.405
456,0.835
457,0.392
458,0.484
459,1.406
460,0.531
461,0.377
462,0.344
463,0.196
464,0.392
465,0.438
466,0.488
467,0.679
468,0.44
469,0.762
470,0.476
471,0.429
472,0.385
473,0.407
474,0.435
475,0.493
476,0.305
477,0.339
478,0.434
479,0.307
480,0.186
481,0.265
482,0.233
483,0.164
484,0.201
485,0.117
486,0.153
487,0.127
488,0.141
489,0.133
490,0.139
491,0.129
492,0.109
493,0.134
494,0.109
495,0.153
496,0.114
497,0.251
498,0.375
499,0.436
500,0.323
501,0.372
502,0.311
503,0.369
504,0.273
505,0.156
506,0.198
507,0.139
508,0.158
509,0.138
510,0.148
511,0.116
512,0.161
513,0.162
514,0.409
515,0.481
516,0.172
517,0.304
518,0.422
519,0.451
520,0.696
521,0.445
522,0.439
523,0.453
524,0.542
525,0.454
526,0.486
527,0.33
528,0.155
529,0.123
530,0.144
531,0.124
532,0.136
533,0.144
534,0.143
535,0.148
536,0.313
537,0.284
538,0.125
539,0.145
540,0.1
541,0.144
542,0.123
543,0.277
544,0.105
545,0.156
546,0.332
547,0.445
548,0.364
549,0.416
550,0.461
551,0.485
552,0.18
553,0.171
554,0.182
555,0.155
556,0.202
557,0.159
558,0.187
559,0.141
560,0.36
561,0.352
562,0.635
563,0.359
564,0.398
565,0.358
566,0.568
567,0.475
568,0.527
569,0.575
570,0.581
571,0.63
572,0.426
573,0.833
574,0.926
575,0.75
576,0.631
577,0.255
578,0.206
579,0.221
580,0.223
581,0.235
582,0.195
583,0.221
584,0.269
585,0.253
586,0.295
587,0.224
588,0.252
589,0.348
590,0.169
591,0.187
592,0.16
593,0.184
594,0.171
595,0.209
596,0.128
597,0.178
598,0.304
599,0.32
600,0.381
601,0.351
602,0.575
603,0.4
604,0.299
605,0.221
606,0.15
607,0.18
608,0.538
609,0.732
610,0.913
611,0.823
612,0.795
613,0.612
614,0.768
615,0.788
616,0.661
617,0.645
618,0.629
619,0.559
620,0.678
621,0.418
622,0.388
623,0.341
624,0.24
625,0.202
626,0.226
627,0.292
628,0.182
629,0.225
630,0.24
631,0.211
632,0.202
633,0.24
634,0.201
635,0.415
636,0.227
637,0.182
638,0.246
639,0.25
640,0.174
641,0.243
642,0.494
643,0.402
644,0.335
645,0.237
646,0.231
647,0.194
648,0.235
649,0.135
650,0.193
651,0.175
652,0.184
653,0.208
654,0.204
655,0.205
656,0.197
657,0.175
658,0.138
659,0.189
660,0.142
661,0.443
662,0.418
663,0.438
664,0.392
665,0.409
666,0.366
667,0.536
668,0.526
669,0.373
670,0.412
671,0.181
672,0.211
673,0.172
674,0.18
675,0.194
676,0.18
677,0.209
678,0.18
679,0.21
680,0.174
681,0.231
682,0.199
683,0.175
684,0.336
685,0.192
686,0.205
687,0.162
688,0.163
689,0.15
690,0.17
691,0.161
692,0.202
693,0.135
694,0.129
695,0.129
696,0.144
697,0.141
698,0.207
699,0.146
700,0.187
701,0.18
702,0.167
703,0.159
704,0.146
705,0.155
706,0.143
707,0.169
708,0.519
709,0.633
710,0.365
711,0.418
712,0.493
713,0.528
714,0.608
715,0.603
716,0.44
717,0.337
718,0.2
719,0.166
720,0.161
721,0.199
722,0.152
723,0.118
724,0.157
725,0.126
726,0.169
727,0.108
728,0.133
729,0.12
730,0.126
731,0.392
732,0.123
733,0.283
734,0.137
735,0.153
736,0.139
737,0.279
738,0.349
739,0.408
740,0.338
741,0.355
742,0.316
743,0.333
744,0.389
745,0.384
746,0.417
747,0.36
748,0.285
749,0.269
750,0.15
751,0.149
752,0.145
753,0.167
754,0.517
755,0.725
756,0.919
757,0.886
758,0.795
759,0.6
760,0.416
761,0.408
762,0.222
763,0.176
764,0.175
765,0.329
766,0.219
767,0.201
768,0.212
769,0.203
770,0.225
771,0.171
772,0.196
773,0.143
774,0.172
775,0.131
776,0.14
777,0.147
778,0.117
779,0.141
780,0.125
781,0.163
782,0.139
783,0.293
784,0.143
785,0.187
786,0.205
787,0.325
788,0.195
789,0.123
790,0.185
791,0.178
792,0.159
793,0.171
794,0.121
795,0.168
796,0.113
797,0.144
798,0.126
799,0.188
800,0.25
801,0.15
802,0.118
803,0.412
804,0.52
805,0.582
806,0.706
807,0.489
808,0.517
809,1.039
810,0.428
811,0.287
812,0.4
813,0.408
814,0.372
815,0.366
816,0.291
817,0.319
818,0.272
819,0.283
820,0.223
821,0.127
822,0.173
823,0.136
824,0.172
825,0.123
826,0.174
827,0.119
828,0.164
829,0.126
830,0.206
831,0.334
832,0.454
833,0.443
834,0.381
835,0.347
836,0.37
837,0.26
838,0.304
839,0.252
840,0.291
841,0.267
842,0.31
843,0.264
844,0.399
845,0.189
846,0.163
847,0.169
848,0.194
849,0.313
850,0.397
851,0.487
852,0.666
853,0.587
854,0.457
855,0.531
856,0.408
857,0.578
858,0.35
859,0.47
860,0.45
861,0.364
862,0.378
863,0.324
864,0.213
865,0.18
866,0.185
867,0.173
868,0.118
869,0.21
870,0.109
871,0.162
872,0.164
873,0.134
874,0.143
875,0.137
876,0.123
877,0.138
878,0.147
879,0.138
880,0.351
881,0.383
882,0.543
883,0.545
884,0.373
885,0.421
886,0.424
887,0.221
888,0.124
889,0.16
890,0.125
891,0.146
892,0.153
893,0.119
894,0.179
895,0.144
896,0.359
897,0.442
898,0.471
899,0.723
900,0.921
901,1.507
902,1.223
903,1.226
904,1.331
905,0.933
906,1.186
907,0.952
908,0.688
909,0.604
910,0.523
911,0.561
912,0.519
913,0.606
914,0.49
915,0.528
916,0.534
917,0.44
918,0.36
919,0.308
920,0.334
921,0.507
922,0.314
923,0.335
924,0.135
925,0.149
926,0.181
927,0.273
928,0.468
929,0.341
930,0.38
931,0.384
932,0.284
933,0.418
934,0.381
935,0.308
936,0.334
937,0.424
938,0.384
939,0.448
940,0.412
941,0.449
942,0.368
943,0.418
944,0.368
945,0.261
946,0.173
947,0.196
948,0.146
949,0.168
950,0.135
