,0
0,0.136
1,0.125
2,0.159
3,0.124
4,0.172
5,0.098
6,0.186
7,0.113
8,0.172
9,0.104
10,0.168
11,0.127
12,0.332
13,0.198
14,0.325
15,0.214
16,0.309
17,0.317
18,0.108
19,0.18
20,0.121
21,0.154
22,0.13
23,0.141
24,0.162
25,0.617
26,0.794
27,0.186
28,0.263
29,0.202
30,0.278
31,0.334
32,0.413
33,0.297
34,0.361
35,0.336
36,0.85
37,0.465
38,0.328
39,0.342
40,0.34
41,0.395
42,0.323
43,0.389
44,0.288
45,0.175
46,0.11
47,0.174
48,0.115
49,0.143
50,0.125
51,0.139
52,0.154
53,0.106
54,0.161
55,0.11
56,0.179
57,0.091
58,0.166
59,0.124
60,0.262
61,0.245
62,0.295
63,0.216
64,0.169
65,0.388
66,0.133
67,0.219
68,0.187
69,0.122
70,0.168
71,0.324
72,0.35
73,0.39
74,0.77
75,0.762
76,0.439
77,0.187
78,0.316
79,0.254
80,0.181
81,0.141
82,0.119
83,0.155
84,0.119
85,0.161
86,0.113
87,0.423
88,0.32
89,0.407
90,1.153
91,0.446
92,0.974
93,0.471
94,0.128
95,0.13
96,0.147
97,0.125
98,0.165
99,0.094
100,0.178
101,0.109
102,0.172
103,0.099
104,0.158
105,0.126
106,0.115
107,0.179
108,0.35
109,0.269
110,0.261
111,0.182
112,0.242
113,0.203
114,0.139
115,0.118
116,0.154
117,0.111
118,0.183
119,0.091
120,0.305
121,0.265
122,0.21
123,0.178
124,0.211
125,0.299
126,0.276
127,0.381
128,0.284
129,0.866
130,0.847
131,0.632
132,0.3
133,0.429
134,0.308
135,0.481
136,0.3
137,0.409
138,0.505
139,0.371
140,0.135
141,0.131
142,0.152
143,0.126
144,0.154
145,0.102
146,0.18
147,0.102
148,0.171
149,0.111
150,0.148
151,0.126
152,0.137
153,0.132
154,0.11
155,0.189
156,0.374
157,0.24
158,0.374
159,0.216
160,0.194
161,0.295
162,0.174
163,0.112
164,0.164
165,0.111
166,0.176
167,0.099
168,0.158
169,0.139
170,0.122
171,0.162
172,0.748
173,0.23
174,0.305
175,0.885
176,0.972
177,0.514
178,0.404
179,0.486
180,0.324
181,0.408
182,1.155
183,0.587
184,0.782
185,0.372
186,0.366
187,0.329
188,0.188
189,0.1
190,0.203
191,0.108
192,0.198
193,0.096
194,0.183
195,0.12
196,0.174
197,0.203
198,0.166
199,0.138
200,0.147
201,0.138
202,0.139
203,0.16
204,0.216
205,0.358
206,0.23
207,0.32
208,0.174
209,0.195
210,0.279
211,0.237
212,0.114
213,0.353
214,0.226
215,0.273
216,0.252
217,0.322
218,0.349
219,0.197
220,0.286
221,0.197
222,0.315
223,0.25
224,0.396
225,0.333
226,0.443
227,0.372
228,0.416
229,0.324
230,0.409
231,0.348
232,0.39
233,0.298
234,0.377
235,0.384
236,0.186
237,0.109
238,0.159
239,0.131
240,0.185
241,0.199
242,0.162
243,0.167
244,0.113
245,0.166
246,0.114
247,0.186
248,0.102
249,0.17
250,0.109
251,0.167
252,0.372
253,0.164
254,0.276
255,0.159
256,0.17
257,0.209
258,0.319
259,0.121
260,0.173
261,0.11
262,0.172
263,0.179
264,0.531
265,0.267
266,0.188
267,0.214
268,0.141
269,0.178
270,0.12
271,0.45
272,0.895
273,1.013
274,0.641
275,0.709
276,0.757
277,0.47
278,1.193
279,0.463
280,1.051
281,0.375
282,0.431
283,0.337
284,0.495
285,0.155
286,0.168
287,0.113
288,0.179
289,0.116
290,0.147
291,0.146
292,0.137
293,0.162
294,0.141
295,0.184
296,0.092
297,0.182
298,0.111
299,0.148
300,0.122
301,0.209
302,0.385
303,0.271
304,0.256
305,0.131
306,0.289
307,0.332
308,0.449
309,0.423
310,0.221
311,0.208
312,0.252
313,0.22
314,0.161
315,0.228
316,0.146
317,0.431
318,0.443
319,0.917
320,0.675
321,0.793
322,0.77
323,0.58
324,0.562
325,0.348
326,0.422
327,0.378
328,0.48
329,0.354
330,0.554
331,0.331
332,0.422
333,0.154
334,0.153
335,0.15
336,0.134
337,0.174
338,0.128
339,0.176
340,0.108
341,0.2
342,0.112
343,0.18
344,0.117
345,0.179
346,0.112
347,0.171
348,0.359
349,0.262
350,0.366
351,0.139
352,0.332
353,0.262
354,0.183
355,0.112
356,0.198
357,0.096
358,0.181
359,0.131
360,0.156
361,0.138
362,0.192
363,0.203
364,0.154
365,0.177
366,0.108
367,0.872
368,0.267
369,0.3
370,0.366
371,0.413
372,0.357
373,0.47
374,0.429
375,0.393
376,0.809
377,0.732
378,1.049
379,0.35
380,0.396
381,0.11
382,0.174
383,0.112
384,0.191
385,0.107
386,0.177
387,0.113
388,0.175
389,0.114
390,0.152
391,0.141
392,0.137
393,0.138
394,0.12
395,0.184
396,0.318
397,0.25
398,0.232
399,0.263
400,0.275
401,0.347
402,0.153
403,0.145
404,0.253
405,0.11
406,0.206
407,0.267
408,0.422
409,0.153
410,0.232
411,0.599
412,0.671
413,0.513
414,0.339
415,0.261
416,0.683
417,0.393
418,0.352
419,0.451
420,0.42
421,0.393
422,0.309
423,0.419
424,0.294
