,0
0,0.288
1,0.288
2,0.563
3,0.363
4,0.35
5,0.213
6,0.213
7,0.225
8,0.325
9,0.613
10,0.675
11,0.663
12,0.55
13,0.2
14,0.15
15,0.15
16,0.163
17,0.825
18,0.325
19,0.35
20,0.638
21,0.65
22,0.875
23,0.35
24,0.525
25,0.588
26,0.525
27,0.925
28,0.613
29,0.463
30,0.5
31,0.5
32,0.9
33,1.4
34,1.438
35,1.525
36,2.313
37,2.325
38,1.538
39,0.988
40,1.438
41,2.063
42,1.563
43,1.438
44,0.913
45,0.638
46,0.513
47,0.613
48,0.2
49,0.175
50,0.275
51,0.275
52,0.188
53,0.188
54,0.188
55,0.15
56,0.288
57,0.6
58,0.625
59,0.563
60,0.5
61,0.138
62,0.538
63,1.05
64,0.913
65,1.038
66,1.388
67,1.45
68,1.525
69,1.413
70,1.225
71,1.85
72,2.588
73,3.713
74,4.188
75,3.463
76,2.863
77,2.575
78,1.513
79,2.113
80,2.475
81,2.094
82,2.313
83,2.338
84,2.938
85,2.513
86,2.238
87,2.35
88,2.825
89,2.975
90,3.325
91,2.65
92,2.688
93,1.863
94,0.363
95,0.263
96,0.3
97,0.55
98,0.2
99,0.188
100,0.213
101,0.163
102,0.175
103,0.163
104,0.35
105,0.588
106,0.6
107,0.575
108,0.963
109,0.238
110,1.0
111,1.0
112,1.575
113,0.813
114,1.15
115,1.188
116,1.538
117,1.188
118,1.138
119,1.238
120,1.113
121,1.125
122,1.088
123,1.075
124,1.213
125,1.125
126,1.1
127,1.7
128,1.338
129,1.2
130,1.263
131,1.625
132,2.175
133,2.363
134,2.475
135,2.088
136,2.6
137,3.725
138,3.875
139,2.75
140,2.238
141,2.363
142,1.825
143,1.175
144,0.725
145,0.688
146,0.7
147,0.7
148,0.65
149,0.663
150,0.4
151,0.2
152,0.375
153,1.2
154,0.625
155,0.613
156,0.525
157,0.3
158,0.463
159,0.225
160,0.15
161,0.163
162,0.15
163,0.75
164,0.85
165,0.95
166,0.95
167,1.013
168,1.263
169,0.888
170,1.625
171,1.075
172,0.913
173,1.525
174,1.525
175,1.413
176,1.3
177,0.863
178,0.925
179,1.338
180,2.2
181,2.425
182,2.5
183,2.325
184,2.288
185,2.25
186,2.375
187,1.888
188,1.888
189,1.613
190,2.438
191,2.0
192,0.663
193,0.175
194,0.188
195,0.175
196,0.15
197,0.175
198,0.213
199,0.2
200,0.325
201,0.625
202,0.6
203,0.6
204,0.513
205,0.488
206,1.031
207,0.375
208,0.25
209,0.238
210,0.175
211,0.175
212,0.55
213,0.75
214,1.05
215,1.338
216,1.225
217,1.175
218,0.875
219,0.3
220,1.1
221,1.888
222,1.588
223,0.775
224,0.7
225,0.925
226,0.825
227,0.763
228,2.025
229,2.963
230,2.363
231,2.438
232,2.238
233,3.875
234,3.275
235,3.025
236,2.938
237,3.513
238,3.0
239,3.213
240,1.338
241,0.538
242,0.188
243,0.175
244,0.163
245,0.15
246,0.225
247,0.188
248,0.338
249,0.6
250,0.588
251,0.638
252,0.738
253,0.438
254,1.0
255,1.05
256,0.838
257,0.625
258,1.35
259,1.138
260,1.188
261,1.1
262,1.138
263,1.188
264,1.15
265,1.138
266,1.988
267,1.95
268,2.7
269,3.538
270,2.9
271,3.263
272,2.338
273,2.288
274,2.25
275,2.263
276,2.413
277,2.963
278,2.888
279,2.638
280,2.6
281,2.575
282,2.55
283,2.188
284,2.188
285,2.375
286,2.063
287,0.725
288,0.175
289,0.288
290,0.213
291,0.163
292,0.238
293,0.188
294,0.175
295,0.213
296,0.3
297,0.613
298,0.613
299,0.788
300,0.588
301,0.275
302,0.25
303,0.188
304,0.2
305,0.15
306,0.263
307,0.638
308,0.513
309,0.6
310,1.163
311,1.275
312,1.55
313,1.188
314,0.925
315,0.363
316,0.4
317,0.538
318,2.188
319,2.388
320,2.8
321,2.913
322,2.625
323,2.475
324,2.6
325,2.875
326,2.838
327,2.825
328,2.863
329,2.988
330,2.863
331,2.338
332,2.388
333,2.35
334,0.45
335,0.225
336,0.188
337,0.213
338,0.325
339,0.388
340,0.713
341,0.675
342,0.688
343,0.65
344,0.513
345,0.6
346,0.675
347,0.638
348,0.538
349,0.2
350,0.156
351,0.175
352,0.163
353,0.238
354,0.313
355,0.55
356,0.713
357,1.475
358,1.325
359,1.6
360,1.4
361,0.75
362,0.525
363,0.525
364,1.45
365,1.313
366,1.25
367,1.075
368,2.725
369,3.575
370,3.775
371,4.375
372,4.463
373,5.05
374,4.163
375,3.825
376,2.838
377,2.988
378,2.825
379,2.525
380,2.675
381,2.363
382,2.263
383,2.225
384,1.3
385,0.238
386,0.238
387,0.213
388,0.188
389,0.25
390,0.25
391,0.188
392,0.338
393,0.575
394,0.575
395,0.563
396,0.788
397,0.263
398,0.463
399,0.313
400,0.325
401,2.6
402,3.375
403,3.363
404,2.438
405,2.063
406,1.175
407,1.625
408,1.25
409,1.175
410,1.1
411,0.338
412,0.2
413,0.6
414,3.613
415,3.438
416,3.113
417,3.031
418,2.738
419,3.663
420,4.25
421,4.088
422,3.5
423,3.6
424,3.05
425,3.65
426,3.675
427,2.75
428,2.488
429,2.4
430,2.375
431,2.35
432,2.6
433,2.438
434,2.225
435,2.238
436,2.163
437,2.2
438,2.15
439,2.15
440,2.325
441,2.563
442,2.538
443,2.55
444,2.863
445,2.263
446,1.688
447,0.163
448,0.188
449,0.163
450,0.225
451,1.1
452,1.238
453,1.025
454,0.688
455,0.688
456,0.8
457,0.675
458,0.825
459,1.5
460,0.925
461,0.85
462,1.013
463,0.888
464,0.938
465,0.888
466,0.975
467,2.038
468,2.913
469,3.813
470,3.5
471,3.4
472,3.563
473,3.85
474,4.475
475,2.438
476,2.425
477,2.35
478,0.975
479,0.4
480,0.163
481,0.163
482,0.313
483,0.263
484,0.213
485,0.213
486,0.213
487,0.175
488,0.313
489,0.613
490,0.575
491,0.575
492,1.0
493,0.363
494,0.45
495,0.2
496,0.15
497,0.763
498,1.088
499,1.138
500,1.138
501,1.063
502,1.038
503,1.063
504,1.063
505,0.65
506,0.288
507,0.313
508,0.263
509,0.325
510,0.4
511,0.35
512,0.338
513,0.406
514,0.613
515,1.25
516,2.8
517,3.45
518,3.05
519,3.113
520,2.938
521,3.0
522,2.875
523,2.5
524,2.413
525,2.363
526,1.7
527,0.65
528,0.213
529,0.213
530,0.188
531,0.188
532,0.163
533,0.175
534,0.213
535,0.213
536,0.3
537,0.588
538,0.55
539,0.563
540,0.988
541,0.6
542,0.325
543,0.313
544,0.213
545,0.175
546,1.088
547,0.888
548,0.9
549,1.063
550,1.188
551,1.075
552,1.25
553,1.15
554,1.338
555,1.788
556,1.438
557,0.85
558,0.45
559,0.263
560,0.188
561,0.3
562,0.288
563,0.713
564,0.763
565,2.588
566,2.725
567,2.663
568,2.663
569,2.825
570,2.938
571,2.538
572,3.363
573,3.288
574,2.675
575,2.813
576,2.338
577,2.363
578,2.338
579,2.313
580,0.875
581,0.15
582,0.138
583,0.175
584,0.288
585,0.538
586,0.538
587,0.525
588,0.838
589,0.35
590,0.538
591,0.263
592,0.238
593,0.2
594,0.425
595,0.375
596,0.388
597,0.675
598,0.538
599,0.5
600,0.463
601,0.438
602,0.488
603,0.625
604,0.575
605,0.625
606,0.763
607,0.588
608,0.438
609,0.656
610,0.425
611,0.788
612,0.65
613,0.825
614,0.788
615,0.775
616,0.8
617,0.8
618,0.55
619,0.225
620,0.288
621,0.375
622,0.363
623,0.338
624,0.313
625,0.4
626,0.188
627,0.163
628,0.125
629,0.163
630,0.188
631,0.138
632,0.263
633,0.55
634,0.5
635,0.5
636,0.488
637,0.15
638,0.125
639,0.113
640,0.138
641,0.15
642,0.4
643,0.488
644,0.425
645,0.55
646,1.125
647,1.038
648,1.025
649,0.925
650,0.7
651,0.213
652,0.213
