,0
0,1.238
1,0.93
2,1.435
3,0.928
4,0.796
5,0.823
6,0.822
7,0.822
8,0.972
9,0.924
10,0.809
11,0.972
12,0.86
13,1.273
14,0.972
15,1.014
16,1.126
17,1.179
18,1.777
19,1.775
20,1.564
21,1.056
22,1.06
23,0.897
24,1.03
25,0.377
26,0.36
27,0.385
28,0.374
29,0.34
30,0.37
31,0.927
32,1.812
33,1.19
34,2.486
35,1.468
36,1.138
37,1.181
38,1.358
39,1.116
40,1.114
41,1.289
42,1.503
43,1.394
44,1.393
45,1.317
46,1.086
47,1.11
48,1.033
49,0.977
50,1.04
51,0.995
52,0.934
53,0.949
54,1.464
55,1.005
56,1.022
57,1.034
58,0.97
59,1.028
60,1.183
61,1.912
62,1.489
63,0.823
64,0.311
65,0.381
66,0.305
67,0.357
68,0.365
69,0.277
70,0.444
71,0.371
72,0.308
73,0.353
74,0.408
75,0.432
76,0.492
77,0.336
78,0.323
79,0.387
80,1.459
81,1.358
82,1.162
83,2.455
84,2.123
85,2.028
86,1.935
87,1.799
88,2.017
89,1.934
90,1.872
91,1.719
92,1.601
93,1.784
94,1.056
95,1.014
96,1.007
97,0.918
98,1.056
99,0.921
100,0.961
101,0.994
102,0.861
103,0.997
104,1.389
105,1.345
106,1.347
107,0.909
108,1.374
109,0.953
110,1.036
111,2.043
112,1.732
113,1.51
114,0.975
115,1.085
116,0.921
117,0.997
118,0.994
119,0.778
120,1.174
121,1.259
122,1.202
123,1.271
124,1.554
125,1.278
126,1.642
127,1.118
128,2.475
129,1.953
130,1.909
131,2.011
132,1.842
133,1.926
134,1.824
135,1.899
136,1.932
137,1.415
138,1.058
139,1.152
140,1.203
141,1.061
142,1.22
143,1.168
144,1.163
145,1.147
146,1.338
147,1.382
148,1.036
149,1.051
150,0.981
151,1.025
152,0.983
153,1.04
154,0.986
155,0.984
156,1.754
157,1.191
158,1.087
159,0.611
160,0.393
161,0.359
162,0.367
163,0.528
164,1.166
165,1.146
166,1.173
167,1.12
168,1.183
169,1.209
170,1.178
171,1.248
172,1.201
173,1.339
174,1.255
175,1.297
176,1.253
177,1.278
178,1.258
179,1.277
180,3.247
181,1.925
182,2.042
183,2.037
184,2.069
185,2.265
186,1.951
187,1.215
188,1.494
189,1.159
190,1.673
191,0.96
192,0.901
193,0.89
194,0.935
195,0.843
196,0.872
197,0.939
198,0.973
199,0.984
200,0.874
201,0.924
202,1.12
203,1.163
204,1.332
205,1.121
206,1.184
207,1.314
208,0.562
209,0.4
210,0.351
211,0.473
212,0.411
213,0.388
214,0.447
215,0.452
216,0.387
217,0.437
218,0.363
219,0.366
220,0.371
221,0.325
222,0.369
223,0.363
224,0.348
225,0.441
226,2.384
227,1.071
228,1.19
229,1.04
230,1.342
231,1.201
232,1.107
233,1.157
234,1.172
235,1.174
236,1.096
237,1.025
238,1.025
239,1.023
240,1.432
241,1.114
242,1.392
243,1.009
244,0.898
245,1.034
246,0.94
247,0.983
248,1.01
249,0.92
250,0.998
251,0.957
252,1.066
253,1.086
254,1.016
255,1.055
256,1.239
257,2.141
258,1.398
259,1.353
260,1.388
261,1.943
262,1.792
263,1.162
264,0.633
265,0.681
266,0.673
267,0.416
268,1.336
269,1.787
270,1.966
271,1.983
272,1.895
273,2.117
274,1.94
275,1.932
276,1.875
277,1.79
278,1.895
279,2.046
280,1.834
281,1.764
282,1.284
283,1.116
284,1.0
285,1.69
286,1.387
287,1.085
288,1.408
289,1.053
290,0.827
291,0.875
292,0.918
293,0.834
294,0.907
295,0.875
296,0.988
297,0.949
298,0.921
299,0.862
300,1.174
301,1.103
302,1.013
303,0.973
304,1.026
305,1.053
306,0.936
307,0.394
308,0.344
309,1.881
310,0.742
311,0.562
312,0.687
313,1.501
314,0.685
315,0.504
316,0.707
317,1.569
318,0.739
319,1.076
320,0.581
321,0.58
322,0.518
323,1.3
324,1.018
325,1.181
326,0.883
327,0.956
328,1.99
329,1.198
330,0.992
331,0.898
332,1.142
333,1.013
334,1.149
335,1.397
336,1.076
337,0.985
338,1.138
339,1.106
340,0.858
341,0.831
342,0.789
343,0.848
344,0.914
345,0.802
346,0.864
347,0.993
348,1.265
349,1.084
350,0.987
351,1.008
352,1.948
353,2.501
354,2.099
355,1.962
356,1.577
357,1.19
358,1.197
359,1.779
360,1.172
361,1.264
362,0.377
363,1.069
364,1.19
365,1.207
366,1.207
367,1.768
368,1.916
369,1.811
370,1.33
371,1.837
372,2.194
373,2.049
374,1.519
375,1.825
376,1.776
377,1.763
378,1.495
379,0.998
380,1.185
381,1.128
382,1.314
383,0.791
384,1.345
385,0.875
386,0.825
387,0.876
388,0.881
389,0.872
390,0.981
391,0.912
392,0.938
393,0.98
394,0.935
395,1.028
396,0.886
397,1.379
398,1.25
399,0.673
400,0.297
401,0.38
402,0.403
403,0.504
404,1.114
405,1.132
406,1.195
407,1.236
408,1.106
409,0.434
410,0.524
411,0.387
412,0.389
413,0.844
414,1.251
415,1.264
416,0.762
417,0.435
418,1.585
419,1.028
420,1.291
421,1.022
422,1.05
423,1.135
424,1.018
425,1.548
426,1.34
427,0.999
428,1.104
429,1.006
430,1.295
431,0.662
432,1.21
433,0.808
434,0.828
435,0.764
436,0.835
437,0.911
438,0.826
439,0.93
440,0.868
441,0.832
442,0.938
443,0.891
444,1.254
445,2.018
446,2.017
447,1.554
448,1.145
449,1.874
450,2.021
451,1.569
452,1.127
453,1.211
454,1.216
455,1.229
456,1.238
457,1.225
458,0.453
459,0.512
460,0.319
461,0.309
462,0.302
463,0.28
464,0.332
465,0.27
466,0.297
467,0.333
468,0.269
469,0.293
470,0.329
471,0.264
472,0.391
473,2.122
474,1.193
475,1.23
476,0.694
477,0.366
478,0.551
479,0.497
480,0.737
481,0.654
482,0.688
483,0.724
484,0.744
485,0.705
486,0.752
487,0.777
488,0.707
489,0.742
490,0.792
491,0.75
492,0.818
493,1.218
494,1.083
495,1.163
496,0.345
497,0.382
498,0.339
499,0.351
500,0.926
501,1.17
502,1.235
503,1.214
504,1.246
505,1.357
506,0.922
507,0.461
508,0.481
509,0.455
510,0.417
511,0.787
512,0.778
513,2.044
514,1.487
515,1.422
516,1.237
517,1.271
518,1.559
519,1.511
520,1.454
521,1.393
522,1.236
523,1.049
524,1.461
525,1.742
526,1.08
527,1.536
528,0.847
529,1.381
530,0.688
531,0.848
532,0.774
533,0.759
534,0.901
535,0.868
536,0.903
537,0.747
538,0.829
539,0.953
540,1.315
541,2.004
542,2.073
543,1.587
544,1.19
545,1.037
546,1.198
547,0.829
548,0.57
549,0.74
550,1.48
551,1.559
552,1.454
553,1.116
554,0.665
555,0.621
556,0.575
557,0.45
558,0.457
559,0.505
560,0.392
561,0.435
562,0.417
563,0.414
564,1.039
565,2.482
566,1.267
567,1.024
568,0.927
569,1.212
570,0.904
571,0.775
572,0.998
573,1.523
574,1.228
575,0.767
576,1.191
577,0.455
578,0.448
579,0.656
580,0.625
581,0.693
582,0.592
583,0.741
584,0.573
585,0.838
586,0.739
587,1.166
588,1.014
589,0.81
590,0.872
591,1.159
592,0.81
593,0.385
594,0.42
595,0.369
596,0.377
597,0.417
598,0.477
599,0.419
600,0.423
601,0.419
602,0.35
603,0.412
604,0.408
605,0.352
606,0.408
607,0.412
608,0.42
609,0.456
610,0.456
611,1.015
612,0.972
613,1.349
614,1.349
615,0.672
616,0.836
617,1.077
618,0.81
619,0.917
620,1.798
621,2.022
622,1.749
623,1.62
624,1.132
625,0.524
626,0.453
627,0.614
628,0.812
629,0.846
630,0.71
631,0.878
632,0.891
633,0.861
634,0.935
635,1.014
636,0.891
637,0.979
638,1.031
639,1.29
640,1.297
641,1.148
642,0.787
643,0.854
644,0.996
645,0.716
646,0.818
647,0.655
648,0.498
649,0.523
650,0.48
651,0.493
652,0.467
653,0.749
654,0.721
655,0.847
656,0.604
657,0.6
658,0.476
659,0.448
660,0.466
661,1.194
662,1.36
663,1.235
664,1.287
665,1.147
666,1.155
667,1.24
668,1.192
669,1.091
670,1.161
671,1.05
672,1.413
673,0.933
674,0.864
675,0.922
676,0.746
677,0.872
678,0.961
679,0.779
680,0.974
681,0.832
682,0.903
683,1.443
684,1.011
685,0.985
686,0.945
687,1.027
688,1.541
689,1.857
690,1.963
691,1.339
692,1.238
693,1.087
694,1.358
695,1.025
696,1.105
697,0.492
698,0.373
699,0.431
700,0.405
701,0.372
702,0.424
703,0.512
704,0.492
705,1.977
706,1.852
707,1.104
708,1.185
709,1.485
710,1.088
711,1.206
712,1.165
713,1.036
714,1.142
715,1.085
716,1.178
717,1.383
718,1.458
719,1.154
720,1.261
721,1.136
722,0.839
723,0.973
724,0.857
725,0.978
726,0.944
727,0.924
728,0.943
729,0.925
730,0.994
731,0.917
732,1.482
733,1.244
734,1.25
735,0.919
736,0.28
737,0.329
738,0.336
739,0.294
740,0.352
741,0.581
742,0.958
743,0.983
744,0.278
745,0.309
746,0.325
747,0.261
748,0.345
749,0.436
750,0.364
751,0.421
752,0.345
753,0.297
754,0.562
755,0.354
756,0.357
757,1.661
758,1.055
759,1.283
760,1.158
761,1.194
762,1.806
763,1.433
764,1.119
765,0.933
766,1.023
767,1.293
768,1.326
769,1.435
770,1.029
771,0.857
772,0.952
773,0.947
774,0.928
775,0.823
776,1.045
777,0.903
778,0.879
779,0.894
780,2.0
781,1.9
782,1.763
783,1.431
784,0.897
785,0.909
786,0.956
787,0.581
788,0.35
789,0.411
790,0.342
791,0.281
792,0.332
793,0.306
794,0.325
795,0.358
796,0.273
797,0.295
798,0.307
799,0.257
800,0.32
801,0.295
802,0.255
803,0.317
804,0.921
805,1.746
806,1.171
807,1.033
808,1.079
809,1.114
810,1.078
811,1.123
812,1.073
813,0.941
814,1.044
815,1.132
816,0.954
817,0.762
818,0.907
819,0.918
820,0.774
821,0.787
822,0.83
823,0.798
824,0.925
825,0.87
826,1.285
827,1.081
828,0.954
829,1.276
830,1.097
831,0.883
832,0.302
833,0.338
834,0.307
835,0.307
836,0.345
837,0.417
838,0.309
839,0.332
840,0.357
841,0.324
842,0.356
843,0.287
844,0.268
845,0.329
846,0.29
847,0.257
848,0.326
849,0.291
850,0.263
851,0.325
852,0.415
853,1.815
854,1.411
855,1.304
856,1.314
857,1.172
858,1.16
859,1.113
860,1.311
861,1.565
862,1.415
863,2.181
864,1.953
865,1.661
866,1.44
867,0.936
868,1.022
869,1.006
870,1.043
871,1.666
872,1.5
873,1.635
874,1.551
875,1.558
876,1.505
877,1.43
878,1.88
879,1.347
880,0.968
881,0.845
882,0.857
883,0.68
884,0.323
885,0.296
886,0.376
887,0.439
888,0.394
889,0.352
890,0.346
891,0.291
892,0.332
893,0.315
