,0
0,0.047
1,0.073
2,0.047
3,0.089
4,0.065
5,0.07
6,0.048
7,0.068
8,0.067
9,0.064
10,0.03
11,0.051
12,0.04
13,0.054
14,0.049
15,0.047
16,0.027
17,0.048
18,0.047
19,0.063
20,0.027
21,0.048
22,0.035
23,0.04
24,0.064
25,0.048
26,0.028
27,0.049
28,0.051
29,0.061
30,0.027
31,0.049
32,0.027
33,0.074
34,0.039
35,0.051
36,0.029
37,0.052
38,0.064
39,0.038
40,0.042
41,0.051
42,0.034
43,0.074
44,0.046
45,0.053
46,0.034
47,0.054
48,0.032
49,0.082
50,0.034
51,0.052
52,0.032
53,0.054
54,0.037
55,0.075
56,0.032
57,0.051
58,0.03
59,0.05
60,0.038
61,0.042
62,0.063
63,0.048
64,0.028
65,0.047
66,0.027
67,0.049
68,0.042
69,0.719
70,0.216
71,0.587
72,0.494
73,0.962
74,0.343
75,0.55
76,0.574
77,0.684
78,0.515
79,0.807
80,0.586
81,0.483
82,0.333
83,0.46
84,0.926
85,0.868
86,0.904
87,0.876
88,1.127
89,0.871
90,1.08
91,0.368
92,0.145
93,0.075
94,0.072
95,0.051
96,0.072
97,0.046
98,0.087
99,0.071
100,0.057
101,0.073
102,0.061
103,0.072
104,0.055
105,0.091
106,0.057
107,0.058
108,0.083
109,0.081
110,0.352
111,0.231
112,0.319
113,0.503
114,0.298
115,0.645
116,0.657
117,1.107
118,0.223
119,0.269
120,0.449
121,0.059
122,0.293
123,0.146
124,0.157
125,0.907
126,0.702
127,0.242
128,0.095
129,0.388
130,0.508
131,0.418
132,1.555
133,0.959
134,0.673
135,1.076
136,0.8
137,1.123
138,0.349
139,0.194
140,0.08
141,0.071
142,0.071
143,0.07
144,0.053
145,0.072
146,0.087
147,0.054
148,0.071
149,0.047
150,0.072
151,0.068
152,0.065
153,0.053
154,0.064
155,0.052
156,0.098
157,0.327
158,0.252
159,0.188
160,0.478
161,0.487
162,0.447
163,0.275
164,0.328
165,0.544
166,0.32
167,0.289
168,0.216
169,0.315
170,0.214
171,0.691
172,0.209
173,0.19
174,0.223
175,0.201
176,0.305
177,0.162
178,0.258
179,1.113
180,1.098
181,1.024
182,0.599
183,0.411
184,1.053
185,0.921
186,0.73
187,0.287
188,0.157
189,0.051
190,0.071
191,0.051
192,0.075
193,0.065
194,0.061
195,0.059
196,0.059
197,0.082
198,0.06
199,0.046
200,0.073
201,0.046
202,0.074
203,0.087
204,0.072
205,0.257
206,0.146
207,0.221
208,0.393
209,0.333
210,0.199
211,0.266
212,0.083
213,0.058
214,0.167
215,0.227
216,0.276
217,0.323
218,0.397
219,0.327
220,0.597
221,0.349
222,0.33
223,0.479
224,0.451
225,0.476
226,0.871
227,1.177
228,1.273
229,1.337
230,1.067
231,1.862
232,1.619
233,1.488
234,1.02
235,1.12
236,1.064
237,0.743
238,0.712
239,0.728
240,0.736
241,0.72
242,0.715
243,0.308
244,0.306
245,0.313
246,0.302
247,0.339
248,0.319
249,0.297
250,0.321
251,0.101
252,0.102
253,0.071
254,0.091
255,0.108
256,0.297
257,0.202
258,0.165
259,0.235
260,0.368
261,0.471
262,0.281
263,0.189
264,0.149
265,0.271
266,0.515
267,0.195
268,0.18
269,0.268
270,0.245
271,0.394
272,0.367
273,0.265
274,0.471
275,0.495
276,0.664
277,0.408
278,0.395
279,0.548
280,0.606
281,0.579
282,0.427
283,0.356
284,0.336
285,0.268
286,0.109
287,0.075
288,0.069
289,0.096
290,0.073
291,0.079
292,0.074
293,0.068
294,0.07
295,0.032
296,0.073
297,0.028
298,0.052
299,0.028
300,0.052
301,0.038
302,0.07
303,0.098
304,0.857
305,0.919
306,1.226
307,0.965
308,0.399
309,0.38
310,0.345
311,0.439
312,0.192
313,0.364
314,0.888
315,0.362
316,0.482
317,0.523
318,0.398
319,0.229
320,0.153
321,0.182
322,0.374
323,0.772
324,0.548
325,0.732
326,0.852
327,0.899
328,0.809
329,1.026
330,0.33
331,0.427
332,0.285
333,0.275
334,0.249
335,0.136
336,0.069
337,0.056
338,0.077
339,0.069
340,0.047
341,0.069
342,0.068
343,0.067
344,0.07
345,0.046
346,0.074
347,0.175
348,0.154
349,0.141
350,0.283
351,0.911
352,0.443
353,0.638
354,0.663
355,0.701
356,0.656
357,0.675
358,0.727
359,0.655
360,0.744
361,0.663
362,0.599
363,0.66
364,0.475
365,0.885
366,0.688
367,0.93
368,0.423
369,0.307
370,0.46
371,1.044
372,0.986
373,0.99
374,0.95
375,1.07
376,1.323
377,0.949
378,0.439
379,0.627
380,0.393
381,0.256
382,0.127
383,0.099
384,0.137
385,0.102
386,0.123
387,0.125
388,0.117
389,0.122
390,0.098
391,0.122
392,0.13
393,0.096
394,0.121
395,0.127
396,0.127
397,0.141
398,0.099
399,0.23
400,0.529
401,0.344
402,0.529
403,0.392
404,0.521
405,0.391
406,0.524
407,0.82
408,1.423
409,0.755
410,0.378
411,0.378
412,0.341
413,0.263
414,0.345
415,0.36
416,0.529
417,0.329
418,0.432
419,0.361
420,0.843
421,0.846
422,0.597
423,0.431
424,0.386
425,1.074
426,0.571
427,0.782
428,0.318
429,0.164
430,0.061
431,0.069
432,0.07
433,0.052
434,0.076
435,0.078
436,0.066
437,0.047
438,0.068
439,0.063
440,0.085
441,0.045
442,0.066
443,0.058
444,0.07
445,0.123
446,0.441
447,0.117
448,0.115
449,0.184
450,0.491
451,0.765
452,0.858
453,0.678
454,1.03
455,0.625
456,0.641
457,0.588
458,0.768
459,0.336
460,0.197
461,0.451
462,0.592
463,0.491
464,0.536
465,0.413
466,0.475
467,1.932
468,2.214
469,1.781
470,1.816
471,1.881
472,1.969
473,2.509
474,2.309
475,2.162
476,1.614
477,1.539
478,1.398
479,1.406
480,1.394
481,1.391
482,1.387
483,1.046
484,0.317
485,0.299
486,0.327
487,0.328
488,0.325
489,0.321
490,0.328
491,0.227
492,0.113
493,0.246
494,0.223
495,0.091
496,0.129
497,0.366
498,0.608
499,1.011
500,0.713
501,0.188
502,0.196
503,0.388
504,0.253
505,0.468
506,0.244
507,0.19
508,0.244
509,0.192
510,0.156
511,0.269
512,0.297
513,0.191
514,0.415
515,0.367
516,0.441
517,0.413
518,0.565
519,0.584
520,0.812
521,0.441
522,0.484
523,0.516
524,0.383
525,0.302
526,0.214
527,0.077
528,0.068
529,0.07
530,0.048
531,0.088
532,0.069
533,0.046
534,0.069
535,0.084
536,0.046
537,0.066
538,0.067
539,0.076
540,0.092
541,0.094
542,0.239
543,0.209
544,0.215
545,0.896
546,0.709
547,0.727
548,0.451
549,0.371
550,0.529
551,0.528
552,0.477
553,0.714
554,0.503
555,0.185
556,0.2
557,0.344
558,0.36
559,0.613
560,0.263
561,0.236
562,0.536
563,0.272
564,0.428
565,0.678
566,0.407
567,0.443
568,0.401
569,0.843
570,1.221
571,1.231
572,0.437
573,0.451
574,0.249
575,0.091
576,0.083
577,0.188
578,0.15
579,0.093
580,0.055
581,0.07
582,0.073
583,0.085
584,0.068
585,0.048
586,0.078
587,0.106
588,0.068
589,0.062
590,0.09
591,0.343
592,0.362
593,0.386
594,0.132
595,0.074
596,0.053
597,0.073
598,0.594
599,0.467
600,0.269
601,0.326
602,0.261
603,0.255
604,0.199
605,0.198
606,0.278
607,0.461
608,0.623
609,1.34
610,1.618
611,1.96
612,1.86
613,1.782
614,2.166
615,2.081
616,1.082
617,1.15
618,0.654
619,0.491
620,0.355
621,0.19
622,0.081
623,0.106
624,0.124
625,0.084
626,0.1
627,0.08
628,0.125
629,0.078
630,0.102
631,0.074
632,0.108
633,0.091
634,0.101
635,0.074
636,0.104
637,0.128
638,0.081
639,0.287
640,0.733
641,0.897
642,0.88
643,0.845
644,0.564
645,0.692
646,0.228
647,0.175
648,0.179
649,0.199
650,0.168
651,0.178
652,0.413
653,0.491
654,0.548
655,0.916
656,0.527
657,0.538
658,0.528
659,1.218
660,1.363
661,0.693
662,0.439
663,0.38
664,1.135
665,1.028
666,0.851
667,0.58
668,0.36
669,0.346
670,0.325
671,0.135
672,0.073
673,0.052
674,0.073
675,0.093
676,0.05
677,0.071
678,0.071
679,0.088
680,0.053
681,0.071
682,0.05
683,0.085
684,0.065
685,0.066
686,0.064
687,0.238
688,0.33
689,0.462
690,0.681
691,0.433
692,0.495
693,0.586
694,1.506
695,0.982
696,0.342
697,0.204
698,0.207
699,0.327
700,0.152
701,0.416
702,0.957
703,0.97
704,0.905
705,0.485
706,0.762
707,0.32
708,0.705
709,0.824
710,0.321
711,0.342
712,0.336
713,0.31
714,0.72
715,0.508
716,0.378
717,0.413
718,0.618
719,0.589
720,0.066
721,0.053
722,0.076
723,0.085
724,0.047
725,0.07
726,0.048
727,0.072
728,0.083
729,0.047
730,0.068
731,0.051
732,0.066
733,0.189
734,0.371
735,0.373
736,0.593
737,0.248
738,0.246
739,0.26
740,0.386
741,0.692
742,1.032
743,0.294
744,0.624
745,1.409
746,1.462
747,1.904
748,1.833
749,2.153
750,1.875
751,2.061
752,1.765
753,1.457
754,0.768
755,0.57
756,0.893
757,0.741
758,0.793
759,0.753
760,0.807
761,1.016
762,0.456
763,0.501
764,0.432
765,0.182
766,0.178
767,0.153
768,0.172
769,0.168
770,0.148
771,0.193
772,0.161
773,0.17
774,0.164
775,0.15
776,0.173
777,0.178
778,0.165
779,0.145
780,0.191
781,0.317
782,0.415
783,0.431
784,0.26
785,0.341
786,0.235
787,0.373
788,0.171
789,0.11
790,0.112
791,0.11
792,0.111
793,0.11
794,0.111
795,0.11
796,0.11
797,0.115
798,0.117
799,0.113
800,0.117
801,0.159
802,0.109
803,0.443
804,0.561
805,0.331
806,0.66
807,1.16
808,0.995
809,1.542
810,1.688
811,0.371
812,0.164
813,0.153
814,0.154
815,0.148
816,0.146
817,0.153
818,0.127
819,0.151
820,0.133
821,0.157
822,0.16
823,0.128
824,0.149
825,0.135
826,0.14
827,0.149
828,0.206
829,0.394
830,0.267
831,0.294
832,0.134
833,0.15
834,0.182
