,0
0,0.541
1,0.1
2,0.09
3,0.094
4,0.046
5,0.092
6,0.048
7,0.088
8,0.08
9,0.055
10,0.09
11,0.046
12,0.087
13,0.085
14,0.112
15,0.146
16,0.355
17,0.205
18,0.38
19,0.908
20,0.949
21,0.91
22,0.982
23,0.934
24,0.275
25,0.238
26,0.245
27,0.23
28,0.256
29,0.371
30,0.812
31,1.578
32,1.662
33,1.756
34,1.764
35,1.046
36,0.92
37,0.961
38,1.093
39,1.078
40,1.161
41,1.295
42,0.99
43,0.954
44,1.682
45,0.659
46,0.124
47,0.042
48,0.098
49,0.043
50,0.094
51,0.051
52,0.087
53,0.072
54,0.064
55,0.087
56,0.047
57,0.09
58,0.041
59,0.09
60,0.302
61,0.159
62,0.053
63,0.08
64,0.071
65,0.06
66,0.088
67,0.106
68,0.224
69,0.105
70,0.185
71,0.2
72,0.261
73,0.645
74,1.187
75,1.247
76,1.236
77,1.895
78,2.415
79,2.728
80,2.943
81,3.373
82,3.409
83,3.497
84,2.833
85,1.399
86,1.047
87,1.035
88,0.99
89,1.048
90,0.876
91,0.98
92,0.795
93,0.727
94,0.094
95,0.069
96,0.069
97,0.087
98,0.136
99,0.125
100,0.043
101,0.105
102,0.043
103,0.098
104,0.043
105,0.096
106,0.041
107,0.094
108,0.043
109,0.093
110,0.129
111,0.345
112,0.595
113,1.203
114,0.435
115,0.537
116,0.196
117,1.006
118,1.133
119,0.848
120,0.248
121,1.251
122,1.177
123,1.227
124,1.209
125,0.362
126,0.159
127,0.111
128,0.134
129,0.375
130,1.341
131,1.802
132,2.958
133,2.138
134,2.038
135,2.819
136,2.963
137,1.844
138,1.536
139,1.267
140,0.986
141,0.111
142,0.066
143,0.079
144,0.09
145,0.043
146,0.089
147,0.051
148,0.079
149,0.14
150,0.078
151,0.111
152,0.052
153,0.091
154,0.057
155,0.079
156,0.172
157,0.467
158,0.366
159,0.122
160,0.2
161,0.25
162,0.475
163,0.332
164,0.304
165,0.319
166,0.371
167,0.195
168,0.245
169,0.172
170,0.575
171,0.641
172,0.508
173,0.844
174,0.985
175,0.911
176,0.984
177,1.944
178,2.595
179,2.109
180,1.091
181,1.71
182,2.992
183,2.273
184,1.759
185,1.103
186,1.034
187,0.867
188,0.681
189,0.73
190,0.74
191,0.711
192,0.743
193,0.686
194,0.734
195,0.683
196,0.743
197,0.655
198,0.593
199,0.565
200,0.569
201,0.573
202,0.545
203,0.63
204,0.694
205,1.212
206,0.475
207,0.117
208,0.109
209,0.164
210,0.144
211,0.143
212,0.151
213,0.103
214,0.208
215,0.602
216,0.553
217,0.804
218,0.963
219,0.934
220,1.778
221,3.365
222,2.662
223,2.567
224,3.423
225,3.229
226,3.414
227,3.316
228,3.02
229,2.068
230,1.568
231,1.011
232,1.046
233,0.945
234,1.124
235,1.285
236,1.507
237,0.216
238,0.553
239,0.585
240,0.441
241,0.546
242,0.521
243,0.647
244,0.392
245,0.717
246,0.632
247,0.447
248,0.632
249,0.548
250,0.484
251,0.59
252,0.578
253,1.016
254,1.801
255,1.286
256,0.816
257,0.517
258,0.444
259,0.554
260,0.963
261,0.341
262,0.69
263,0.845
264,0.737
265,0.793
266,0.733
267,0.818
268,0.1
269,0.099
270,0.04
271,0.549
272,0.184
273,0.182
274,0.443
275,1.071
276,1.515
277,1.396
278,1.494
279,1.384
280,1.419
281,1.372
282,1.404
283,1.413
284,1.407
285,0.961
286,1.002
287,0.975
288,1.071
289,0.477
290,0.1
291,0.046
292,0.092
293,0.041
294,0.088
295,0.041
296,0.089
297,0.059
298,0.07
299,0.075
300,0.23
301,0.76
302,0.469
303,0.093
304,0.041
305,0.094
306,0.04
307,0.098
308,0.079
309,0.093
310,0.04
311,0.092
312,0.043
313,0.08
314,0.561
315,1.416
316,1.166
317,1.388
318,0.916
319,0.984
320,0.805
321,0.911
322,0.889
323,0.832
324,0.671
325,0.609
326,0.701
327,1.303
328,0.99
329,0.556
330,0.087
331,0.052
332,0.052
333,0.085
334,0.041
335,0.098
336,0.041
337,0.097
338,0.04
339,0.076
340,0.06
341,0.049
342,0.125
343,0.04
344,0.094
345,0.04
346,0.094
347,0.04
348,0.078
349,0.053
350,0.057
351,0.075
352,0.041
353,0.266
354,0.619
355,0.338
356,0.199
357,0.229
358,0.588
359,0.209
360,0.806
361,0.121
362,0.501
363,0.989
364,1.151
365,0.453
366,1.264
367,1.539
368,1.356
369,1.304
370,1.785
371,2.456
372,2.066
373,1.547
374,2.39
375,1.022
376,1.045
377,1.213
378,1.091
379,0.963
380,0.192
381,0.079
382,0.112
383,0.085
384,0.071
385,0.101
386,0.048
387,0.099
388,0.059
389,0.088
390,0.086
391,0.058
392,0.096
393,0.047
394,0.094
395,0.057
396,0.084
397,0.142
398,0.201
399,0.179
400,1.02
401,0.907
402,1.305
403,0.984
404,0.822
405,0.279
406,0.338
407,0.382
408,0.166
409,0.122
410,0.292
411,0.29
412,0.209
413,0.41
414,0.44
415,0.458
416,0.959
417,1.717
418,2.652
419,2.511
420,2.453
421,2.241
422,1.658
423,1.683
424,1.442
425,1.303
426,1.361
427,1.018
428,0.896
429,0.754
430,0.591
431,0.221
432,0.257
433,0.172
434,0.068
435,0.106
436,0.104
437,0.083
438,0.096
439,0.049
440,0.095
441,0.077
442,0.068
443,0.095
444,0.175
445,0.477
446,0.868
447,1.973
448,1.879
